Rank,Div_1,Div_2,Div_3,Div_4
Unranked,00:00:00,00:00:00,00:00:00,00:00:00
Mud 1,16:00:00,16:45:00,17:30:00,18:15:00
Mud 2,19:00:00,19:30:00,20:00:00,20:30:00
Mud 3,21:00:00,21:45:00,22:30:00,23:15:00
Wood 1,24:00:00,24:45:00,25:30:00,26:15:00
Wood 2,27:00:00,28:00:00,29:00:00,30:00:00
Wood 3,31:00:00,32:00:00,33:00:00,34:00:00
Stone 1,35:00:00,36:00:00,37:00:00,38:00:00
Stone 2,39:00:00,40:15:00,41:30:00,42:45:00
Stone 3,44:00:00,45:30:00,47:00:00,48:30:00
Copper 1,50:00:00,51:45:00,53:30:00,55:15:00
Copper 2,57:00:00,59:00:00,61:00:00,63:00:00
Copper 3,65:00:00,67:00:00,69:00:00,71:00:00
Bronze 1,73:00:00,75:30:00,78:00:00,80:30:00
Bronze 2,83:00:00,85:45:00,88:30:00,91:15:00
Bronze 3,94:00:00,97:00:00,100:00:00,103:00:00
Silver 1,106:00:00,109:30:00,113:00:00,116:30:00
Silver 2,120:00:00,124:30:00,129:00:00,133:30:00
Silver 3,138:00:00,143:30:00,149:00:00,154:30:00
Gold 1,160:00:00,167:30:00,175:00:00,182:30:00
Gold 2,190:00:00,200:00:00,210:00:00,220:00:00
Gold 3,230:00:00,245:00:00,260:00:00,275:00:00
Platinum 1,290:00:00,312:30:00,335:00:00,357:30:00
Platinum 2,380:00:00,407:30:00,435:00:00,462:30:00
Platinum 3,490:00:00,525:00:00,560:00:00,595:00:00
Diamond 1,630:00:00,672:30:00,715:00:00,757:30:00
Diamond 2,800:00:00,850:00:00,900:00:00,950:00:00
Diamond 3,1000:00:00,1067:30:00,1135:00:00,1202:30:00
Champion 1,1270:00:00,1350:00:00,1430:00:00,1510:00:00
Champion 2,1590:00:00,1692:30:00,1795:00:00,1897:30:00
Champion 3,2000:00:00,2137:30:00,2275:00:00,2412:30:00
Grand Champion 1,2550:00:00,2705:00:00,2860:00:00,3015:00:00
Grand Champion 2,3170:00:00,3330:00:00,3490:00:00,3650:00:00
Grand Champion 3,3810:00:00,3970:00:00,4130:00:00,4290:00:00
Super Sonic Legend,4450:00:00,4597:00:00,4744:00:00,4891:00:00
B,5038:00:00,5204:15:00,5370:30:00,5536:45:00
B+,5703:00:00,5891:15:00,6079:30:00,6267:45:00
A,6456:00:00,6669:15:00,6882:30:00,7095:45:00
X,7309:00:00,7550:15:00,7791:30:00,8032:45:00
S,8274:00:00,8274:00:00,8274:00:00,8274:00:00
